Hold,RelativeHoldStartS,SteeringRad,BrakingRatio,SpectralRadiusClosedMap,SpectralRadiusAbsoluteClosedMap,LateralBoundM,LateralBoundFeedbackOffM,SteeringFeedbackSupportRad,MaximumArithmeticIncrement,MaximumTireBetaDerivativeN
56,2.75,-0.0202783020667536,0.0384039827306095,1.00000949309813,1.0744242820464,2628996.16634462,1.20177621832525e-07,876170.174795069,1.93295790592976e-09,0.21603487987642
57,2.8,-0.0202278425039787,0.0388731791532245,1.00001120388827,1.07465064882815,2833620.96777372,1.26195590632356e-07,940200.890633882,1.99990251648485e-09,0.213850672450781
58,2.85,-0.0203662836679888,0.0395395880029027,1.00001355296656,1.07488720133728,3053199.06084687,1.32368800990447e-07,1009323.25145142,2.06695765037392e-09,0.228834384062001
59,2.9,-0.0206820172497551,0.0404134490042055,1.00001653804934,1.07513645081868,3289074.28811399,1.38698105145144e-07,1083941.43419228,2.13413197857783e-09,0.281477243019986
60,2.95,-0.0211623826796478,0.041505532407221,1.00002015513571,1.0753950209971,3542701.22440388,1.45184481555427e-07,1164495.31238458,2.20143538795853e-09,0.34397741670849
61,3,-0.021793248900308,0.0428271476600722,1.00002440029616,1.07566310295867,3815657.70627168,1.51829041489574e-07,1251465.77170726,2.26887799817635e-09,0.417428628783779
62,3.05,-0.0225581533751216,0.0443899439583506,1.00002926854016,1.07594409017904,4109657.36628892,1.58633035328104e-07,1345378.65378695,2.33647019891495e-09,0.502592977592975
63,3.1,-0.0234368712729421,0.0462055252466471,1.0000347582311,1.07623919760384,4426564.07493956,1.65597859631041e-07,1446814.81880958,2.40422307350854e-09,0.59941609561836
64,3.15,-0.0244031919511378,0.0482847383902235,1.00004086701238,1.0765413390475,4768405.84965305,1.72725066637557e-07,1556414.66010574,2.47215013801981e-09,0.706194588175476
65,3.2,-0.0254215452925708,0.0506363447969872,1.00004759916664,1.07684725565392,5137383.18038457,1.80016369884941e-07,1674870.97622599,2.54026023487689e-09,0.818207474053543
66,3.25,-0.0264419200411573,0.0532638935160089,1.00005496287142,1.07715123148459,5535874.97254017,1.87473650825299e-07,1802940.53947687,2.60856551723564e-09,0.925578044739205
67,3.3,-0.0273921812853217,0.0561531309507535,1.00006297595326,1.07744372529656,5966436.28075037,1.95098958125856e-07,1941450.21777162,2.67707865639458e-09,1.01010019882057
68,3.35,-0.028166244111762,0.0592108384366018,1.00007167323753,1.07770899421104,6431780.46495092,2.02894498110394e-07,2091300.80934584,2.74581309750049e-09,1.04072317113391
69,3.4,-0.028607410710551,0.0619535619006418,1.00008110497168,1.07792101005176,6934735.39201569,2.10862596747676e-07,2253467.72899198,2.81478514720246e-09,0.968466818889399
70,3.45,-0.0284451692312951,0.0626319652149809,1.00009141991117,1.07802110434732,7478073.9192809,2.19005522719025e-07,2428988.82854176,2.88400584605125e-09,0.759593795291339
71,3.5,-0.0235838908632225,0.0380494995183673,1.00010914064117,1.07744597677536,8062192.22145186,2.27324915047996e-07,2618950.81279683,2.95348043388126e-09,0.464070495415463
72,3.55,-0.0235838908632225,0.0380494995183673,1.00011145914847,1.07788581462821,8695443.94190277,2.3581402025565e-07,2824834.83056702,3.02310158469127e-09,0.346584480664277
