Hold,RelativeHoldStartS,SteeringRad,BrakingRatio,SpectralRadiusClosedMap,SpectralRadiusAbsoluteClosedMap,LateralBoundM,LateralBoundFeedbackOffM,SteeringFeedbackSupportRad,MaximumArithmeticIncrement,MaximumTireBetaDerivativeN
13,0.6,0.698121944068409,0.999987869084392,26.39777799007,26.4767219630742,5.7551811716723,3.67101434400522e-09,0.13838816315236,1.3973744918364e-09,1320686.7051251
14,0.65,-0.698122032169286,0.999987999585169,29.0863063800093,29.1052210467233,26.4549233197141,4.76808038455472e-09,3.63001997029579,1.56968910759112e-09,1327848.44614279
15,0.7,-0.698121985928179,0.999987999896233,28.2781409294797,28.2964029893943,426.444118070738,6.13239339203528e-09,572.983862395851,1.8139204930222e-09,1327865.65640949
16,0.75,0.698121648294261,0.999987999855264,26.5798666266983,26.6557170615234,112094.745825625,7.82506711529028e-09,16073.1580322734,2.21757626396538e-09,1327863.38966606
17,0.8,0.698122001919763,0.99998799970026,26.2733792821308,26.350925488177,3192504.63628581,9.92213985963495e-09,87523.4023264706,2.64014122953936e-09,1327854.81372727
18,0.85,-0.424466982449552,0.999987991269675,17.0406507755778,17.0693041079231,11509474.69253,1.25084074070184e-08,2114291.3194973,2.99144362608552e-09,1327388.62123446
19,0.9,-0.69812205030755,-0.999987999425067,26.4243332609624,26.5152531511312,134265150.772202,1.56837374526872e-08,360379990.979488,3.44335669802164e-09,1327839.58839225
20,0.95,-0.698121998602371,-0.995899495701025,1.68153297181454,2.37695344883512,2778677752.14953,1.94655250920586e-08,6129073821.06779,3.89993812817644e-09,71613.2013071879
21,1,-0.698121866432727,0.994827751609499,1.44109694437475,1.75765643898448,11683591112.3904,2.39360604094477e-08,17672438156.9697,4.33496863802695e-09,63711.9724257269
22,1.05,-0.698121718668614,-0.991562407435851,1.48144194636972,2.08129670380337,33418778272.1969,2.93245529116353e-08,37346583228.161,4.76601171289979e-09,49759.8845399028
