Scenario,TimeS,SteerRad,BrakingRatio,FrontSlipRad,ReportedAffineFrontForceN,IndependentFialaFrontForceN,StaticCombinedSlipCapacityN,AffineForceCapacityRatio,PredictedVyMps,ActualVyMps,PredictedYawRateRadps,ActualYawRateRadps,VxPredictionErrorMps,VyPredictionErrorMps,YawRatePredictionErrorRadps,HorizonSteps
straight_oncoming,2.05,-0.064058703504695,0.00920495724884432,0.0421862414539635,-5695.42581410987,-4195.60608268817,6504.99767870358,0.875546171639057,-0.202927467737406,-0.155016800497148,-0.181601317630185,-0.16613612182958,-0.00659663092037732,0.0479106672402578,0.015465195800605,56
straight_oncoming,2.1,-0.471267112016,-0.301732013486782,0.43054675290054,-58112.650381126,-6202.08057820663,6202.08057820663,9.36986381397993,-1.39736027789711,-0.214917795387488,-1.23346207338342,-0.232539409077663,-0.00635762893081449,1.18244248250962,1.00092266430575,56
straight_oncoming,2.15,-0.146991393534305,0.165874578659811,0.0891943443760076,-12182.7074166526,-6082.61100694414,6415.15480533167,1.8990511977244,-0.467861616185476,-0.324223707626424,-0.42327590612791,-0.344281628124601,-0.0635554556586744,0.143637908559052,0.0789942780033088,56
circular_oncoming,0,0.0306812244091529,0.0142795959199793,-0.0043587862779302,667.792884433749,570.704490647578,6504.61001573487,0.102664553727024,0.11144343957139,0.0875049098534732,0.0997122542560511,0.0976361985396134,0.000805277355272693,-0.0239385297179167,-0.00207605571643771,16
circular_oncoming,0.05,0.0320391736716438,0.0138654071028378,-0.00850320755120006,1116.93396211918,1081.44193643817,6504.64793659986,0.17171320769484,0.107983655843659,0.0943980505058035,0.102073197880452,0.101955307401149,-0.000909609066500394,-0.0135856053378558,-0.000117890479303523,16
circular_oncoming,0.1,0.0315109796623942,0.0163633178285019,-0.00662837054931514,914.05418168186,854.185165372058,6504.40230612816,0.140528543386789,0.108227948574776,0.103912871843008,0.101844029699307,0.10259703603904,-0.00167805561231837,-0.00431507673176844,0.000753006339732964,16
circular_oncoming,0.15,0.0309853095299004,0.0173209915876819,-0.00505264747495797,743.419673330697,658.352044957745,6504.29736579467,0.11429669209779,0.109633663377077,0.110495373511831,0.100874936893954,0.100067788328233,-0.00188550992664815,0.000861710134754071,-0.000807148565721338,16
circular_oncoming,0.2,0.0309962735543296,0.0175659727984068,-0.00478804719389487,714.795082641495,625.030194719034,6504.26956241472,0.10989628824303,0.11193588069937,0.114307818075519,0.100487281618513,0.0990881357138893,-0.00183536193652678,0.00237193737614994,-0.0013991459046233,16
circular_oncoming,0.25,0.0310036973971849,0.0175281044745819,-0.00456273845274737,690.365816733454,596.556985754572,6504.27388568443,0.106140336164643,0.113225144772134,0.114601280766807,0.100370130379674,0.0998532621824642,-0.00171572723621161,0.00137613599467358,-0.000516868197209974,16
circular_oncoming,0.3,0.0309403679168015,0.0172541313742304,-0.0043545534359492,667.759178431438,570.166314708319,6504.30488603896,0.102664187815786,0.11306423364775,0.112639892648719,0.100384026309453,0.100245606336213,-0.00157624447865423,-0.000424340999031186,-0.000138419973240045,16
circular_oncoming,0.35,0.0309415162302661,0.0170342669905168,-0.00449268162441073,682.699749253382,587.685077068407,6504.32941061278,0.104960820117668,0.11242458581651,0.11077972427821,0.100431861252856,0.100063158395917,-0.00146586836690332,-0.0016448615383,-0.000368702856938463,16
