scenario,variant,time,feasible,exitFlag,identifier,message,horizonSteps,nativeSolves,restorationSolves,finalRestorationSlack,targetPositionRadius1s,targetSpeedLower,targetSpeedUpper,targetCourseWidth,elapsedSeconds
circular_oncoming,zeroTargetVelocityYawBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.272231
circular_oncoming,zeroTargetVelocityAccelerationBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.272025
circular_oncoming,tightVelocityBox,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.275568
estimated_straight_oncoming,fresh,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,89.9020799816458,47.188244812753,0,21.0605328907405,6.28318530717959,0.319514
estimated_straight_oncoming,noTarget,1.05,1,1,,solver exit flag 1: Clarabel status 1,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007416
estimated_straight_oncoming,noRoadRows,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,89.9020794585241,47.188244812753,0,21.0605328907405,6.28318530717959,0.29727
estimated_straight_oncoming,noRoad,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,89.9020794585241,47.188244812753,0,21.0605328907405,6.28318530717959,0.300336
estimated_straight_oncoming,predictedSuccessor,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,89.900505388493,47.188244812753,0,21.0605328907405,6.28318530717959,0.321762
estimated_straight_oncoming,zeroEgoBounds,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,85.1936761015227,47.188244812753,0,21.0605328907405,6.28318530717959,0.297099
estimated_straight_oncoming,zeroTargetBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,4.33897307413874e-13,10.0299675506001,10.0299675506001,0,0.038766
estimated_straight_oncoming,zeroAllBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,4.33897307413874e-13,10.0299675506001,10.0299675506001,0,0.038411
estimated_straight_oncoming,exactTargetMotion,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,1.38089359308326,10.0299675506001,10.0299675506001,0,0.038982
estimated_straight_oncoming,zeroTargetYawBound,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,89.8877886180296,47.188244812753,0,21.0605328907405,6.28318530717959,0.315214
estimated_straight_oncoming,zeroTargetVelocityBound,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,4,0,NaN,2.02459713506638,10.0299675506001,10.0299675506001,0,0.132849
estimated_straight_oncoming,zeroTargetVelocityYawBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,1.84565753432507,10.0299675506001,10.0299675506001,0,0.037655
estimated_straight_oncoming,zeroTargetVelocityAccelerationBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,1.38089359308326,10.0299675506001,10.0299675506001,0,0.036263
estimated_straight_oncoming,tightVelocityBox,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,83.5486169605934,45.5835106211205,2.86982378036675,19.3473196985184,2.48118546542517,0.317577
