scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,horizonSeconds,support1s,support2s,support3s,support4s,support4p8s,exitSupport,targetBoxHalfWidth4p8s,reserveSteer,reserveBrake
crossing,0.01,0,10,cartesian-egoOnly,4.8,2.00501536828391,3.0688393689358,3.89293543823218,5.80641104833265,7.30975957660246,7.60290979697599,5.61368320000044,0.189843520831449,0.183074803712971
crossing,0.01,0,10,nrmm-boxOnly,4.8,2.00066170588295,3.03419553589453,3.79656598679242,5.57379786659606,6.93798422691085,7.2142112995862,5.28801792177503,0.189843520831449,0.183074803712971
crossing,0.01,0,10,nrmm-egoOnly,4.8,1.99708924021843,3.00180573521537,3.69293877854951,5.28274153079354,6.40734684308336,6.65941939656282,4.82319374399054,0.189843520831449,0.183074803712971
crossing,0.01,0,10,nrmm-reactive30,4.8,2.17067634054576,3.30312882793966,4.74826109991694,7.02661281530514,8.79600257076197,9.07553026301943,4.82319374399054,0.195666484415786,0.404204764606733
crossing,0.01,0,10,nrmm-reactive100,4.8,2.16679293153447,3.30214570775024,4.76119247544137,7.03932939115884,8.80842733469999,9.08668695579276,4.82319374399054,0.191235187649989,0.250381912129089
crossing,0.01,0.02,1,cartesian-egoOnly,4.8,0.516042073549117,0.920882344890772,1.21049370409558,1.91732572005842,2.61326002090733,2.65633710970462,1.51688320000039,0.189843520831449,0.183074803712971
crossing,0.01,0.02,1,nrmm-boxOnly,4.8,0.511741821951123,0.881714396208412,1.09860312342224,1.61807850894882,2.03283639198982,2.05621852917594,1.04484340062178,0.189843520831449,0.183074803712971
crossing,0.01,0.02,1,nrmm-egoOnly,4.8,0.511302028781256,0.87157286795046,1.0636516353525,1.4615435181052,1.75497911792495,1.77497379763962,0.78584369100613,0.189843520831449,0.183074803712971
crossing,0.01,0.02,1,nrmm-reactive30,4.8,0.51554106919958,0.810695850495198,1.05353749197995,1.42215684355342,1.70231585275451,1.71077493743317,0.78584369100613,0.189857345635428,0.209946203335405
crossing,0.01,0.02,1,nrmm-reactive100,4.8,0.517799176857434,0.819035265561939,1.06322017934476,1.4311807156637,1.71102829293161,1.71929066827659,0.78584369100613,0.189847890662756,0.191606879561956
crossing,0.01,0.02,3,cartesian-egoOnly,4.8,0.845636754427718,1.47413491567561,1.82254030455918,2.77412472619899,3.6411778482344,3.70932097549413,2.4272832000004,0.189843520831449,0.183074803712971
crossing,0.01,0.02,3,nrmm-boxOnly,4.8,0.845277712644778,1.48155469496485,1.84805828276504,2.86548128606778,3.83025504974332,3.90111112422268,2.60127219263045,0.189843520831449,0.183074803712971
crossing,0.01,0.02,3,nrmm-egoOnly,4.8,0.843223642326872,1.45853118926906,1.77758963777746,2.64943844296984,3.43315376529785,3.49152739912166,2.30456893882012,0.189843520831449,0.183074803712971
crossing,0.01,0.02,3,nrmm-reactive30,4.8,0.881776490992689,1.39782322287662,1.99593072825999,2.83121724679374,3.51835920662471,3.54325561201224,2.30456893882012,0.18989167352042,0.238640117278812
crossing,0.01,0.02,3,nrmm-reactive100,4.8,0.883827327690865,1.40679628629415,2.00761673173783,2.84175900073155,3.52834992626571,3.55296436203912,2.30456893882012,0.189855134343488,0.200803122326635
crossing,0.01,0.02,10,cartesian-egoOnly,4.8,1.99921813750282,3.41051891342254,3.96470340618179,5.77292124769095,7.23889024387913,7.39476450575742,5.61368320000045,0.189843520831449,0.183074803712971
crossing,0.01,0.02,10,nrmm-boxOnly,4.8,2.01923784828833,3.53001959481017,4.43372250324868,7.20900094345819,10.0031429752306,10.2552892137993,8.08686610318648,0.189843520831449,0.183074803712971
crossing,0.01,0.02,10,nrmm-egoOnly,4.8,2.00956086739468,3.49859491016639,4.2672404124395,6.67328353581611,8.959579255822,9.16379074207957,7.14316673519228,0.189843520831449,0.183074803712971
crossing,0.01,0.02,10,nrmm-reactive30,4.8,2.24887383820641,3.72547127911095,5.64794022900011,8.55296654545019,11.0885573561429,11.2234647029353,7.14316673519228,0.196122011696658,0.402235132020956
crossing,0.01,0.02,10,nrmm-reactive100,4.8,2.24516582213561,3.71316288066358,5.66205613605635,8.56644542253308,11.1020096039832,11.2362577986584,7.14316673519228,0.191360607821761,0.248295635343023
lead,0,0.02,1,cartesian-egoOnly,6.4,0.321159937722653,0.534761767835718,0.845338890861707,0.888625947154893,1.0909006174252,1.5846915600103,0.587910400000358,0.170144598740476,0.166633485718169
