scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minTerminalMargin,maxClfResidual,reactiveAdmissions,cartesianJerk,maxFrameMs
crossing,0,0.02,10,nrmm-egoOnly,1,1,240,,,8.90809073690745,8.90809073690745,0.0937580448448261,-0.00164822858373132,0,NaN,109.498
crossing,0,0.02,10,nrmm-reactive,1,1,240,,,8.90809250677926,8.90809250677926,0.0937584283931184,-0.00164822858372736,1,NaN,136.627
crossing,0.01,0,1,cartesian,1,1,240,,,1.1935758542372,1.18581946893524,1.60038455316175e-05,-0.0483280324694433,0,0.0576,280.023
crossing,0.01,0,1,nrmm-boxOnly,1,1,240,,,1.04646157720099,1.04025002749609,1.60060339821494e-05,-0.048685142784355,0,NaN,120.885
crossing,0.01,0,1,nrmm-egoOnly,1,1,240,,,1.04583789110434,1.03961618978441,1.60062390583277e-05,-0.0486854850651898,0,NaN,118.377
crossing,0.01,0,1,nrmm-reactive,1,1,240,,,1.03479321458941,1.03383637076648,1.60069717639461e-05,-0.0487257747044262,1,NaN,222.427
crossing,0.01,0,3,cartesian,1,1,240,,,1.68148993521113,1.68089468577769,1.60003174702189e-05,-0.0474273647700367,0,0.0576,117.034
crossing,0.01,0,3,nrmm-boxOnly,1,1,240,,,1.56286788733385,1.56178410298249,1.60028619117653e-05,-0.0483751855745447,0,NaN,114.706
crossing,0.01,0,3,nrmm-egoOnly,1,1,240,,,1.56001517312282,1.55856746704685,1.6002759144193e-05,-0.0484303597199553,0,NaN,102.773
crossing,0.01,0,3,nrmm-reactive,1,1,240,,,1.56619751132572,1.56312182912921,1.60014813898463e-05,-0.048260770203262,1,NaN,238.459
crossing,0.01,0,10,cartesian,1,1,240,,,4.58773475046992,4.58733141376139,1.58232842330935e-05,-0.0454080440845454,0,0.0576,134.709
crossing,0.01,0,10,nrmm-boxOnly,1,1,240,,,4.03224182674236,4.03171192643865,1.59645655175428e-05,-0.0450775327386037,0,NaN,85.098
crossing,0.01,0,10,nrmm-egoOnly,1,1,240,,,3.75649464827076,3.75466314528454,1.6000159000093e-05,-0.0454577453299294,0,NaN,100.016
crossing,0.01,0,10,nrmm-reactive,1,1,240,,,5.29992694599614,5.29747425103098,1.58121087077134e-05,-0.0440087612990857,3,NaN,262.73
crossing,0.01,0.02,1,cartesian,1,1,240,,,1.14905660916064,1.14455317494632,1.6004840403358e-05,-0.0484460479154569,0,0.0576,132.326
crossing,0.01,0.02,1,nrmm-boxOnly,1,1,240,,,1.11512187708658,1.11138128376021,1.60094755438517e-05,-0.0484272218439798,0,NaN,86.298
crossing,0.01,0.02,1,nrmm-egoOnly,1,1,240,,,1.10565189873654,1.10204467579506,1.60136024069252e-05,-0.0484348930680905,0,NaN,89.87
crossing,0.01,0.02,1,nrmm-reactive,1,1,240,,,1.09987373943669,1.09635276104539,1.60077838090161e-05,-0.0485060050356298,1,NaN,201.328
crossing,0.01,0.02,3,cartesian,1,1,240,,,1.63617544973658,1.63473187574083,1.60043456280262e-05,-0.0487966641205361,0,0.0576,106.407
crossing,0.01,0.02,3,nrmm-boxOnly,1,1,240,,,1.65337993299738,1.65337993299738,1.60084817710099e-05,-0.0488442900817576,0,NaN,76.473
crossing,0.01,0.02,3,nrmm-egoOnly,1,1,240,,,1.61664756428272,1.61664756428272,1.60048949765929e-05,-0.0489281301274408,0,NaN,133.595
crossing,0.01,0.02,3,nrmm-reactive,1,1,240,,,1.59526680703196,1.59107313064916,1.60077974053485e-05,-0.0488381708370157,1,NaN,263.727
crossing,0.01,0.02,10,cartesian,1,1,240,,,4.27566587528168,4.27560793114718,1.60008323401434e-05,-0.0467402334983891,0,0.0576,70.423
crossing,0.01,0.02,10,nrmm-boxOnly,1,1,240,,,4.2163196717158,4.21336799678985,1.58382702712817e-05,-0.0453166067199783,0,NaN,87.105
crossing,0.01,0.02,10,nrmm-egoOnly,1,1,240,,,3.98158570350269,3.97751342107952,1.57676832523851e-05,-0.0459150820892849,0,NaN,61.739
crossing,0.01,0.02,10,nrmm-reactive,1,1,240,,,5.03179235536478,5.03084072310298,1.56564368298806e-05,-0.0441707922209974,1,NaN,162.748
