scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,horizonSeconds,support1s,support2s,support3s,support4s,support4p8s,exitSupport,targetBoxHalfWidth4p8s,reserveSteer,reserveBrake
lead,0,0.02,1,nrmm-boxOnly,6.4,0.351411782713428,0.611070580231288,1.00923998698733,1.03949959832012,1.26923206764444,1.79378593093063,0.871955490034507,0.170144598740476,0.166633485718169
lead,0,0.02,1,nrmm-egoOnly,6.4,0.324916466165785,0.544234421796068,0.880301077544333,0.879730059284365,1.05817844966165,1.45742047141766,0.631355545513837,0.170144598740476,0.166633485718169
lead,0,0.02,1,nrmm-reactive30,6.4,0.321988771742823,0.521242440006244,0.818847109060566,0.848905377536474,1.02681329688091,1.42544440241267,0.631355545513837,0.174530490248355,0.19225949292377
lead,0,0.02,1,nrmm-reactive100,6.4,0.32397758620891,0.529093737470625,0.827547060188551,0.869965379777524,1.04824620337301,1.44730063920761,0.631355545513837,0.170571195077362,0.174758209350825
lead,0,0.02,3,cartesian-egoOnly,6.4,0.631159937722657,1.00851698395531,1.50172618831596,1.6486259471549,2.00130061742521,2.83429156001032,1.49831040000037,0.170144598740476,0.166633485718169
lead,0,0.02,3,nrmm-boxOnly,6.4,0.755389962838447,1.32689431052115,2.12298591375694,2.49570587500724,3.13830946549296,4.68740727442809,2.74371109408298,0.170144598740476,0.166633485718169
lead,0,0.02,3,nrmm-egoOnly,6.4,0.661196013117088,1.10110400981372,1.73965896613801,1.91761510481492,2.37043708403857,3.4476546622101,2.02342154732583,0.170144598740476,0.166633485718169
lead,0,0.02,3,nrmm-reactive30,6.4,0.657363921034848,1.05172625578879,1.58555986539524,1.85842428277506,2.30811496107817,3.38095021820276,2.02342154732583,0.182263988676411,0.235756021826244
lead,0,0.02,3,nrmm-reactive100,6.4,0.659962377338444,1.0633823007979,1.59299233075083,1.8987034024241,2.35054741892202,3.42641002537955,2.02342154732583,0.172726875345215,0.188810343679156
lead,0,0.02,10,cartesian-egoOnly,6.4,1.71615993772267,2.6666602403739,3.79908172940585,4.30862594715494,5.18770061742526,7.20789156001038,4.68471040000042,0.170144598740476,0.166633485718169
lead,0,0.02,10,nrmm-boxOnly,6.4,2.54703504638701,4.57541330173327,7.28171316045292,10.8042643946067,14.3150485866323,23.5727221530853,13.8120583692075,0.170144598740476,0.166633485718169
lead,0,0.02,10,nrmm-egoOnly,6.4,2.01212583619465,3.34737595241089,5.1112933518727,6.95863864791686,8.97462895128624,14.1473328922572,8.4716387338614,0.170144598740476,0.166633485718169
lead,0,0.02,10,nrmm-reactive30,6.4,2.0389185973452,3.35847589770828,4.98671276729128,6.97049856560173,8.97748207784819,14.1484101644692,8.4716387338614,0.219983652919826,0.905449277997428
lead,0,0.02,10,nrmm-reactive100,6.4,2.02270187606333,3.33373827252501,4.9727795137318,6.96719558211272,8.98046745040899,14.1526069618966,8.4716387338614,0.183915888105464,0.404377532432485
