scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minTerminalMargin,maxClfResidual,reactiveAdmissions,cartesianJerk,maxFrameMs
crossing,0,0,3,nrmm-boxOnly,1,1,240,,,9.51831478840352,9.51785314388019,0.0937610225421043,-0.00164822859111513,0,NaN,79.882
crossing,0,0,3,nrmm-egoOnly,1,1,240,,,9.51831477087117,9.51785312478523,0.0937610254673801,-0.00164822859111559,0,NaN,111.937
crossing,0,0,3,nrmm-reactive,1,1,240,,,9.51831478995944,9.51785314524867,0.0937610254645516,-0.00164822859111527,1,NaN,167.355
crossing,0,0,10,cartesian,1,1,240,,,9.51359463172253,9.51338714924572,2.91912057037574e-05,-0.00164822872097137,0,29.4912,108.043
crossing,0,0,10,nrmm-boxOnly,1,1,240,,,9.51831516492875,9.51785355423043,0.0937602592286301,-0.00164822859110679,0,NaN,86.77
crossing,0,0,10,nrmm-egoOnly,1,1,240,,,9.51831512248999,9.51785350742214,0.0937604084752696,-0.00164822859110785,0,NaN,116.115
crossing,0,0,10,nrmm-reactive,1,1,240,,,9.51831550667541,9.51785391425205,0.0937604110251468,-0.00164822859110527,1,NaN,126.553
crossing,0,0.02,1,cartesian,1,1,240,,,8.90809178300912,8.90809178300912,0.0937559928598846,-0.001648228583722,0,29.4912,118.705
crossing,0,0.02,1,nrmm-boxOnly,1,1,240,,,8.90809071899792,8.90809071899792,0.0937590497301805,-0.00164822858373098,0,NaN,93.215
crossing,0,0.02,1,nrmm-egoOnly,1,1,240,,,8.9080907067541,8.9080907067541,0.0937591015219611,-0.0016482285837312,0,NaN,260.966
crossing,0,0.02,1,nrmm-reactive,1,1,240,,,8.90809062269512,8.90809062269512,0.093759144553614,-0.00164822858373153,1,NaN,99.951
crossing,0,0.02,3,cartesian,1,1,240,,,8.90809178620499,8.90809178620499,0.093756229432792,-0.00164822858372274,0,29.4912,64.231
crossing,0,0.02,3,nrmm-boxOnly,1,1,240,,,8.90809079682536,8.90809079682536,0.0937585854545141,-0.00164822858372987,0,NaN,68.168
crossing,0,0.02,3,nrmm-egoOnly,1,1,240,,,8.90809076158967,8.90809076158967,0.0937587513162175,-0.00164822858373075,0,NaN,108.367
crossing,0,0.02,3,nrmm-reactive,1,1,240,,,8.90809081946428,8.90809081946428,0.0937588824874768,-0.00164822858373065,1,NaN,100.344
crossing,0,0.02,10,cartesian,1,1,240,,,8.90809173516016,8.90809173516016,0.0937566688839508,-0.00164822858372549,0,29.4912,85.42
crossing,0,0.02,10,nrmm-boxOnly,1,1,240,,,8.90809084532093,8.90809084532093,0.0937573352769523,-0.00164822858373057,0,NaN,96.147
crossing,0,0.02,10,nrmm-egoOnly,1,1,240,,,8.90809073396385,8.90809073396385,0.093758030574651,-0.00164822858373137,0,NaN,61.91
crossing,0,0.02,10,nrmm-reactive,1,1,240,,,8.90809254194413,8.90809254194413,0.0937584222752807,-0.00164822858372712,1,NaN,105.195
crossing,0.01,0,1,cartesian,1,1,240,,,1.1935758542372,1.18581946893524,1.60038455316175e-05,-0.0483280324694433,0,0.0576,317.729
crossing,0.01,0,1,nrmm-boxOnly,1,1,240,,,1.16254335826731,1.15750848500347,1.60086986202151e-05,-0.0486494631324339,0,NaN,165.093
crossing,0.01,0,1,nrmm-egoOnly,1,1,240,,,1.07571157775571,1.07026280774236,1.6005538054184e-05,-0.0486779210649283,0,NaN,173.084
crossing,0.01,0,1,nrmm-reactive,1,1,240,,,1.03492356078126,1.03394900474066,1.60071233207965e-05,-0.0487254772665004,1,NaN,243.336
crossing,0.01,0,3,cartesian,1,1,240,,,1.68148993521113,1.68089468577769,1.60003174702189e-05,-0.0474273647700367,0,0.0576,77.243
crossing,0.01,0,3,nrmm-boxOnly,1,1,240,,,1.97338236030162,1.97232266937457,1.59964178515909e-05,-0.0475370041290364,0,NaN,84.508
crossing,0.01,0,3,nrmm-egoOnly,1,1,240,,,1.67447669197103,1.67433764717124,1.60028375063986e-05,-0.0481928231849534,0,NaN,101.58
crossing,0.01,0,3,nrmm-reactive,1,1,240,,,1.54611824670742,1.54555219649802,1.60040465206762e-05,-0.0482477870970537,1,NaN,159.089
crossing,0.01,0,10,cartesian,1,1,240,,,4.58773475046992,4.58733141376139,1.58232842330935e-05,-0.0454080440845454,0,0.0576,89.19
crossing,0.01,0,10,nrmm-boxOnly,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,-Inf,0,NaN,133.759
crossing,0.01,0,10,nrmm-egoOnly,1,1,240,,,6.1850273041849,6.18356088358919,1.57831982212642e-05,-0.0438329657328585,0,NaN,174.642
crossing,0.01,0,10,nrmm-reactive,1,1,240,,,5.82865905729293,5.82618164730454,1.58223122292966e-05,-0.0438123420110132,3,NaN,200.315
crossing,0.01,0.02,1,cartesian,1,1,240,,,1.14905660916064,1.14455317494632,1.6004840403358e-05,-0.0484460479154569,0,0.0576,77.955
crossing,0.01,0.02,1,nrmm-boxOnly,1,1,240,,,1.21397179942631,1.21344083715416,1.60043320047015e-05,-0.0489642450085329,0,NaN,107.578
crossing,0.01,0.02,1,nrmm-egoOnly,1,1,240,,,1.1556445495151,1.15106612214195,1.6006753370254e-05,-0.0484194238486258,0,NaN,130.169
crossing,0.01,0.02,1,nrmm-reactive,1,1,240,,,1.12138478745607,1.11750869940011,1.60077557113253e-05,-0.0484984648363474,1,NaN,225.364
crossing,0.01,0.02,3,cartesian,1,1,240,,,1.63617544973658,1.63473187574083,1.60043456280262e-05,-0.0487966641205361,0,0.0576,77.24
crossing,0.01,0.02,3,nrmm-boxOnly,1,1,240,,,2.23253631696244,2.23230215629349,1.60779819375206e-05,-0.0482345963957166,0,NaN,90.078
crossing,0.01,0.02,3,nrmm-egoOnly,1,1,240,,,1.82690626768283,1.82324826143703,1.60190039692337e-05,-0.0486729251392187,0,NaN,62.916
crossing,0.01,0.02,3,nrmm-reactive,1,1,240,,,1.66001149941708,1.65986135536638,1.60122827058545e-05,-0.0488285935654387,2,NaN,109.837
crossing,0.01,0.02,10,cartesian,1,1,240,,,4.27566587528168,4.27560793114718,1.60008323401434e-05,-0.0467402334983891,0,0.0576,54.447
crossing,0.01,0.02,10,nrmm-boxOnly,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,-Inf,0,NaN,50.628
crossing,0.01,0.02,10,nrmm-egoOnly,1,1,240,,,6.71347105745639,6.71304243775076,1.57361947587947e-05,-0.0440825778074817,0,NaN,59.394
crossing,0.01,0.02,10,nrmm-reactive,1,1,240,,,6.40365802044923,6.40216099919051,1.57277201238148e-05,-0.0443686408851171,2,NaN,199.575
