caseIndex,group,scenario,curvature,parameters,completed,passed,executedHolds,failureIdentifier,failureMessage,minimumNodeGapM,minimumSampledGapM,minimumRoadMarginM,minimumDomainMargin,maximumClfResidual,maximumSlewViolation,maximumFrameMs,deadlineMisses,minimumSpeedMps,maximumAbsoluteHeadingRad
58,samplePeriod,crossing,0,"[""SampleTime"",0.2]",1,1,240,,"",10.0500005646069,9.51971566999483,NaN,0.399975315901501,-2.65136498928476e-06,0,11.157,0,7.99999435158561,2.45469532669232e-05
59,slew,crossing,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",9.5196602897773,9.51949019887851,NaN,0.399914128039946,-4.09131643675937e-06,0,18.416,0,8,8.53672868163557e-05
60,slew,crossing,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",9.51969934260657,9.51953038462866,NaN,0.399955411317355,-4.64499114636134e-06,0,19.437,0,8,4.42330485591995e-05
61,speed,crossing,0.01,"[""ReferenceSpeed"",2]",1,1,240,,"",5.6154347792118,5.61473338683136,NaN,0.252576433926372,-1.50738992099635e-05,0,49.969,0,0.743397568376985,0.146079942280038
62,speed,crossing,0.01,"[""ReferenceSpeed"",5]",1,1,240,,"",0.466713194424937,0.464478886769859,NaN,0.0679156141563749,-4.52833259748315e-06,0,55.483,1,0.96779490770576,0.326634715370645
63,speed,crossing,0.01,"[""ReferenceSpeed"",12]",1,1,240,,"",0.199569886711036,0.128691441075759,NaN,-0.0688310090408851,-3.32737704177965e-06,0,41.4,0,11.5252686833562,0.468582832497365
64,speed,crossing,0.01,"[""ReferenceSpeed"",18]",1,1,240,,"",0.200903719981024,0.163882007966675,NaN,-0.717969041387413,-6.5391174588974e-06,0,25.619,0,17.9747335592453,0.0593660247034696
65,friction,crossing,0.01,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.145597129543767,0.139116678394865,NaN,-0.349858280291896,-3.7978415913921e-06,0,46.876,0,5.94530073835323,0.742068803768139
66,friction,crossing,0.01,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.38661817020035,0.376193300515454,NaN,-0.331558563430519,-3.41084332855487e-06,0,45.445,0,5.0449837201316,0.730349965740286
67,friction,crossing,0.01,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.598629672692044,0.598579406997033,NaN,-0.318908244084008,-2.85787811672477e-06,0,47.499,0,3.78227048669961,0.712314550832801
68,samplePeriod,crossing,0.01,"[""SampleTime"",0.02]",1,1,240,,"",0.170122137455965,0.169502885742172,NaN,-0.251629576975885,-1.10385856872134e-05,0,121.607,131,4.89811287889874,0.649942774438973
69,samplePeriod,crossing,0.01,"[""SampleTime"",0.1]",1,1,240,,"",1.0525914010123,0.966868696728862,NaN,-0.393930738253751,-3.7343719731496e-06,0,26.675,0,3.27707739574421,0.781887301029565
