group,scenario,curvature,uncertaintyScale,targetCurvature,targetSpeedRate,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
B-uncertainty,crossing,0,10,0,0,0,0,0,0,1.6,16,1,1,240,,,9.50286166757485,9.50286166757485,0.394127722020174,0.147771425305477,-0.000472282179056092,1,16.973
B-uncertainty,crossing,0.01,1,0,0,0,0,0,0,1.6,16,1,1,240,,,0.932814444732715,0.932814444732715,-0.37565808738589,0.168157585396343,-0.00067158690792274,1,55.169
B-uncertainty,crossing,0.01,3,0,0,0,0,0,0,1.6,16,1,1,240,,,1.32967478218148,1.32963055176604,-0.908106475639308,0.15836041750441,-0.00538807904579139,1,53.51
B-uncertainty,crossing,0.01,10,0,0,0,0,0,0,1.6,16,1,1,240,,,5.66125430361103,5.66097005052015,-6.19468317677661,1.59999838778291e-05,-0.0565049009405332,1,55.124
C-targetCurvature,oncoming,0,0,0.005,0,0,0,0,0,1.6,16,1,1,240,,,0.206409378238043,0.167870116717487,0.265437217234326,0.182303264273223,-3.00296878775017e-06,1,26.131
C-targetCurvature,oncoming,0,0,0.01,0,0,0,0,0,1.6,16,1,1,240,,,1.9002436680647,1.88983734143141,0.39994619117817,0.182403935644334,-2.95377883743906e-06,1,25.126
C-targetCurvature,oncoming,0,0,0.02,0,0,0,0,0,1.6,16,1,1,240,,,5.65186386840289,5.65186386840289,0.39990350404128,0.182404303722132,-2.4681343224484e-06,1,25.826
C-targetSpeedRate,oncoming,0,0,0,-0.5,0,0,0,0,1.6,16,1,1,240,,,0.637222991870222,0.637222991870222,-0.294346222459488,0.180140638999114,-2.99721522490448e-06,1,39.594
C-targetSpeedRate,oncoming,0,0,0,0.5,0,0,0,0,1.6,16,1,1,240,,,0.396137904401749,0.352992753626222,-0.332427907700111,0.180113427349604,-2.99304092000971e-06,1,38.984
C-targetSpeedRate,oncoming,0,0,0,1,0,0,0,0,1.6,16,1,1,240,,,0.22621215887014,0.208571681696965,-0.314801050754283,0.180576495703479,-2.99378525914573e-06,1,41.588
C-targetCurvature,crossing,0,0,0.005,0,0,0,0,0,1.6,16,1,1,240,,,9.39782020704454,9.38896644115327,0.399862129330587,0.182403176221796,-4.67073735590094e-06,1,15.514
C-targetCurvature,crossing,0,0,0.01,0,0,0,0,0,1.6,16,1,1,240,,,9.27784254118613,9.24576934552184,0.399868799206115,0.182403016341626,-4.52070677466158e-06,1,16.426
C-targetCurvature,crossing,0,0,0.02,0,0,0,0,0,1.6,16,1,1,240,,,8.91905637748629,8.91905637748629,0.399908747209869,0.182403456821023,-3.52361970230914e-06,1,15.926
C-targetSpeedRate,crossing,0,0,0,-0.5,0,0,0,0,1.6,16,1,1,240,,,9.51429902071614,9.51410093632174,0.399866372771037,0.182403276616581,-4.68283799624219e-06,1,16.203
C-targetSpeedRate,crossing,0,0,0,0.5,0,0,0,0,1.6,16,1,1,240,,,9.52492806777848,9.52492806777848,0.39986045442733,0.182403199353016,-4.95424156535389e-06,1,16.309
C-targetSpeedRate,crossing,0,0,0,1,0,0,0,0,1.6,16,1,1,240,,,9.53031764193661,9.53031764193661,0.39985741956244,0.182403159465831,-5.08713537445331e-06,1,24.514
D-initLateral,cruise,0,0,0,0,0.5,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.334046772163554,0.18185390211187,-2.99367234818021e-06,1,19.662
D-initLateral,cruise,0,0,0,0,1,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.268065757837587,0.18130008382447,-2.99924961448082e-06,1,20.181
D-initLateral,cruise,0,0,0,0,2,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.136595790435903,0.180170583371815,-2.99918963070409e-06,1,22.119
D-initLateral,cruise,0,0,0,0,3,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.0100764737552506,0.178861331809677,-2.9972350141938e-06,1,20.529
D-initHeading,cruise,0,0,0,0,0,0.1,0,0,1.6,16,1,1,240,,,Inf,Inf,0.3,0.182388446135065,-2.84565079513862e-06,1,14.842
D-initHeading,cruise,0,0,0,0,0,0.2,0,0,1.6,16,1,1,240,,,Inf,Inf,0.2,0.182372043489002,-2.87887061900992e-06,1,19.305
D-initHeading,cruise,0,0,0,0,0,0.3,0,0,1.6,16,1,1,240,,,Inf,Inf,0.1,0.182355654751127,-3.19502982943591e-06,1,15.61
D-initSpeed,cruise,0,0,0,0,0,0,-2,0,1.6,16,1,1,240,,,Inf,Inf,0.4,0.182404774101373,-5.43520175264751e-06,1,13.759
D-initSpeed,cruise,0,0,0,0,0,0,2,0,1.6,16,1,1,240,,,Inf,Inf,0.4,0.182404774101373,-7.48922293276714e-06,1,12.689
D-initLateral,cruise,0.01,0,0,0,0.5,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.322488687610336,0.173130606424668,-2.83710804885989e-06,1,13.759
D-initLateral,cruise,0.01,0,0,0,1,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.256266092162558,0.172557671094358,-2.83241304041044e-06,1,10.46
D-initLateral,cruise,0.01,0,0,0,2,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.12409488067733,0.171395701285782,-2.8402440962976e-06,1,10.684
D-initLateral,cruise,0.01,0,0,0,3,0,0,0,1.6,16,1,1,240,,,Inf,Inf,-0.00296693604051718,0.170063538886171,-2.83924188567304e-06,1,12.55
D-initHeading,cruise,0.01,0,0,0,0,0.1,0,0,1.6,16,1,1,240,,,Inf,Inf,0.311316052296675,0.173680780463586,-2.80371225312828e-06,1,11.658
D-initHeading,cruise,0.01,0,0,0,0,0.2,0,0,1.6,16,1,1,240,,,Inf,Inf,0.211316052296675,0.17366067357809,-2.93091543352284e-06,1,12.158
D-initHeading,cruise,0.01,0,0,0,0,0.3,0,0,1.6,16,1,1,240,,,Inf,Inf,0.111316052296675,0.173640693092154,-3.01651433728608e-06,1,13.236
D-initSpeed,cruise,0.01,0,0,0,0,0,-2,0,1.6,16,1,1,240,,,Inf,Inf,0.387840078893862,0.173699789334326,-2.38555876520045e-06,1,13.806
D-initSpeed,cruise,0.01,0,0,0,0,0,2,0,1.6,16,1,1,240,,,Inf,Inf,0.388511082679565,0.173698855665176,-2.43219423996146e-06,1,14.78
D-initLateral,stationary,0,0,0,0,0.5,0,0,0,1.6,16,1,1,240,,,0.10008674273359,0.0984764137248908,0.0815394763896886,0.181895455612932,-4.06397993872829e-07,1,46.192
D-initLateral,stationary,0,0,0,0,1,0,0,0,1.6,16,1,1,240,,,0.100090797547026,0.099205105396385,0.125944589902166,0.181901569603863,-6.97426857585442e-07,1,43.916
D-initLateral,stationary,0,0,0,0,2,0,0,0,1.6,16,1,1,240,,,0.100091275653219,0.0877949610031926,0.154230800649253,0.181915648856991,-2.99924131556226e-06,1,46.237
D-initLateral,stationary,0,0,0,0,3,0,0,0,1.6,16,1,1,240,,,0.100103742969038,0.100080031758892,0.108011315768205,0.181726729773219,-2.99415237758755e-06,1,41.391
D-initHeading,stationary,0,0,0,0,0,0.1,0,0,1.6,16,1,1,240,,,0.10009335878632,0.0992119614518495,0.0563813172968704,0.181880294292452,-2.90097378354917e-07,1,48.348
D-initHeading,stationary,0,0,0,0,0,0.2,0,0,1.6,16,1,1,240,,,0.100089234428767,0.0965554404319147,0.070268885915708,0.181757196389303,-5.71039901383723e-07,1,40.265
D-initHeading,stationary,0,0,0,0,0,0.3,0,0,1.6,16,1,1,240,,,0.100101810391585,0.100096184712531,0.0431802687922167,0.181772392490927,-2.64189881973176e-06,1,44.958
D-initSpeed,stationary,0,0,0,0,0,0,-2,0,1.6,16,1,1,240,,,0.100077065066953,0.0743549642175841,-0.000160947166906178,0.180915069480938,-4.8970615318584e-07,1,49.367
D-initSpeed,stationary,0,0,0,0,0,0,2,0,1.6,16,1,1,240,,,0.100086306769317,0.0998966625028499,-0.00551225133382022,0.1814796113451,-1.29221341407687e-06,1,40.41
D-initLateral,stationary,0.01,0,0,0,0.5,0,0,0,1.6,16,1,1,240,,,0.201101151505011,0.200894618898612,0.0751495271165503,0.173217506505093,-2.83924861594381e-06,1,45.9
D-initLateral,stationary,0.01,0,0,0,1,0,0,0,1.6,16,1,1,240,,,0.203310149844179,0.202358698830449,0.0992904734476749,0.173327218975424,-2.83174439163931e-06,1,47.627
D-initLateral,stationary,0.01,0,0,0,2,0,0,0,1.6,16,1,1,240,,,0.247393288372852,0.204530342803037,0.101726856246149,0.173447337420761,-2.84137615930004e-06,1,44.953
D-initLateral,stationary,0.01,0,0,0,3,0,0,0,1.6,16,1,1,240,,,0.202523252005857,0.162818236432423,0.0909580472478266,0.173060261879782,-2.83551723954277e-06,1,42.152
D-initHeading,stationary,0.01,0,0,0,0,0.1,0,0,1.6,16,1,1,240,,,0.156002791090398,0.14905861240995,-0.151469031926508,0.173461837648626,-2.82983373968058e-06,1,46.457
D-initHeading,stationary,0.01,0,0,0,0,0.2,0,0,1.6,16,1,1,240,,,0.210684665807564,0.209209273264566,0.0539711631694129,0.173063444866843,-3.88072112704409e-07,1,40.08
D-initHeading,stationary,0.01,0,0,0,0,0.3,0,0,1.6,16,1,1,240,,,0.216632501426927,0.213361215380924,0.0447620130082973,0.17307937028104,-4.15033437112646e-07,1,43.688
D-initSpeed,stationary,0.01,0,0,0,0,0,-2,0,1.6,16,1,1,240,,,0.207603039774036,0.19685474560154,0.0159766775271417,0.172343045227327,-1.9560375603379e-06,1,44.384
D-initSpeed,stationary,0.01,0,0,0,0,0,2,0,1.6,16,1,1,240,,,0.200838048100732,0.199773195783107,-0.0135415067880365,0.172776795383811,-2.82671816120515e-06,1,39.62
E-road,stationary,0,0,0,0,0,0,0,1,1.6,16,1,1,240,,,0.100086415543775,0.0985362217819182,-0.0127024380185559,0.112137066988413,-8.79842948918451e-06,1,209.562
E-road,oncoming,0,0,0,0,0,0,0,1,1.6,16,1,1,240,,,0.266549464797213,0.262991907400557,-0.288714334061916,0.110606724563816,-8.79376983097153e-06,1,58.589
E-road,crossing,0,0,0,0,0,0,0,1,1.6,16,1,1,240,,,9.51953429721945,9.51953429721945,0.399945662985313,0.112646745815075,-5.56315782927126e-06,1,18.18
E-road,cruise,0,0,0,0,0,0,0,1,1.6,16,1,1,240,,,Inf,Inf,0.4,0.112647284658949,-1.92732894110933e-05,1,13.668
F-horizon,oncoming,0,0,0,0,0,0,0,0,0.8,16,1,1,240,,,0.266546524230968,0.262988412565165,-0.288715000254951,0.180206952421034,-3.39828403053776e-06,1,52.749
F-horizon,oncoming,0,0,0,0,0,0,0,0,1.2,16,1,1,240,,,0.266842524826621,0.263345222074751,-0.288928760352408,0.17959892010002,-5.14090618083112e-06,1,38.062
F-horizon,oncoming,0,0,0,0,0,0,0,0,2.4,16,1,1,240,,,0.26648203588469,0.262871095190698,-0.288655358226987,0.181326256651739,-8.41336491531054e-06,1,43.711
F-horizon,oncoming,0,0,0,0,0,0,0,0,3.2,16,1,1,240,,,0.266546380061315,0.26298823566274,-0.288715002274194,0.180364291732638,-6.36419332312669e-06,1,41.377
F-horizon,crossing,0,0,0,0,0,0,0,0,0.8,16,1,1,240,,,9.5196017095613,9.5196017095613,0.399958432548614,0.182399908130876,-4.25004692743402e-06,1,17.065
F-horizon,crossing,0,0,0,0,0,0,0,0,1.2,16,1,1,240,,,9.51951908339124,9.51951908339124,0.399838743685112,0.182402693468056,-3.28074437984092e-06,1,17.107
F-horizon,crossing,0,0,0,0,0,0,0,0,2.4,16,1,1,240,,,9.51969654169078,9.51969654169078,0.399939980309006,0.182404324877192,-8.46347761894827e-06,1,26.012
F-horizon,crossing,0,0,0,0,0,0,0,0,3.2,16,1,1,240,,,9.51972113007321,9.51972113007321,0.399962372253776,0.182403975883757,-1.39218968665176e-05,1,28.86
G-confirm,oncoming,0,0,0,0,0,0,0,0,1.6,10,1,1,240,,,0.258542175430227,0.251457587245425,-0.305103882048066,0.1784600237366,-2.99336598183655e-06,1,29.586
G-confirm,oncoming,0,0,0,0,0,0,0,0,1.6,24,1,1,240,,,0.246821516252114,0.24500398766707,-0.272616181675215,0.181169049571231,-2.99920222925027e-06,1,49.735
G-confirm,oncoming,0,0,0,0,0,0,0,0,1.6,32,1,1,240,,,0.234362574754827,0.232963457120827,-0.261843717652562,0.182192473164025,-2.99933608384859e-06,1,69.999
G-confirm,crossing,0,0,0,0,0,0,0,0,1.6,10,1,1,240,,,9.51971637828284,9.51971637828284,0.4,0.182404774101373,-8.43003141281889e-06,1,11.7
G-confirm,crossing,0,0,0,0,0,0,0,0,1.6,24,1,1,240,,,9.51960580920703,9.51960580920703,0.39986707717564,0.182401799993409,-3.84629068544634e-06,1,15.799
G-confirm,crossing,0,0,0,0,0,0,0,0,1.6,32,1,1,240,,,9.51949592609031,9.51949592609031,0.399738250406665,0.182398480863531,-3.47311618437168e-06,1,15.619
