caseIndex,group,scenario,curvature,parameters,completed,passed,executedHolds,failureIdentifier,failureMessage,minimumNodeGapM,minimumSampledGapM,minimumRoadMarginM,minimumDomainMargin,maximumClfResidual,maximumSlewViolation,maximumFrameMs,deadlineMisses,minimumSpeedMps,maximumAbsoluteHeadingRad
59,slew,crossing,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",9.5196602897773,9.51949019887851,NaN,0.399914128039946,-4.09131643675937e-06,0,19.775,0,8,8.53672868163557e-05
60,slew,crossing,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",9.51969934260657,9.51953038462866,NaN,0.399955411317355,-4.64499114636134e-06,0,17.879,0,8,4.42330485591995e-05
61,speed,crossing,0.01,"[""ReferenceSpeed"",2]",1,1,240,,"",5.43723239131951,5.4362783592356,NaN,0.383744151462097,-6.12871874272713e-06,0,66.698,1,1.99997701452125,0.0162558420484535
62,speed,crossing,0.01,"[""ReferenceSpeed"",5]",1,1,240,,"",0.466713194905493,0.464478887333837,NaN,0.0679156141147451,-4.52833259749294e-06,0,64.087,1,0.967794905805741,0.326634715433671
63,speed,crossing,0.01,"[""ReferenceSpeed"",12]",1,1,240,,"",0.199548262725101,0.128643756422658,NaN,-0.0688311308430324,-1.53890862531793e-06,0,42.389,0,11.5252686814474,0.468582944789428
64,speed,crossing,0.01,"[""ReferenceSpeed"",18]",1,1,240,,"",0.200903719980218,0.163882008597836,NaN,-0.71796906934302,-6.53911745684317e-06,0,27.246,0,17.9747335589299,0.0593660248683168
65,friction,crossing,0.01,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.145597130463942,0.139116679322961,NaN,-0.349858280320054,-3.79784159090398e-06,0,49.632,0,5.94530073834782,0.742068803791623
66,friction,crossing,0.01,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.386618177912999,0.376193309829259,NaN,-0.331558562610914,-3.41084332742877e-06,0,47.344,0,5.04498371963571,0.730349964838643
67,friction,crossing,0.01,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.598629670892997,0.598579405205706,NaN,-0.318908244034934,-2.85787811667577e-06,0,51.382,1,3.78227049032183,0.712314550790452
68,samplePeriod,crossing,0.01,"[""SampleTime"",0.02]",1,1,240,,"",0.170122138465427,0.169502884721934,NaN,-0.251629577094495,-1.10388298194909e-05,0,126.469,138,4.89811287780791,0.649942774577176
69,samplePeriod,crossing,0.01,"[""SampleTime"",0.1]",1,1,240,,"",1.29498722531169,1.28679505789594,NaN,-0.505520896835362,-3.73161148054205e-06,0,27.662,0,3.14724146314692,0.7225489589153
70,samplePeriod,crossing,0.01,"[""SampleTime"",0.2]",1,1,240,,"",0.936257049193263,0.936257049193263,NaN,-0.965982491083458,-3.09148628631589e-06,0,18.517,0,3.3743979505849,0.837130666286054
71,slew,crossing,0.01,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.63722046389431,0.629270171370856,NaN,-0.287086974732843,-3.01951347721355e-06,0,54.255,1,5.466703204357,0.396646405134527
72,slew,crossing,0.01,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.267352795315435,0.267352795315435,NaN,-0.0581023048092369,-4.26641924966144e-06,0,52.436,1,5.83575134411369,0.458091915414619
73,speed,cruise,0,"[""ReferenceSpeed"",2]",1,1,240,,"",Inf,Inf,NaN,0.4,-2.62376085971569e-05,0,13.735,0,1.99999999823063,5.81311391767599e-24
74,speed,cruise,0,"[""ReferenceSpeed"",5]",1,1,240,,"",Inf,Inf,NaN,0.4,-9.99341240055167e-06,0,11.816,0,4.99999993850621,2.27202863395871e-22
75,speed,cruise,0,"[""ReferenceSpeed"",12]",1,1,240,,"",Inf,Inf,NaN,0.4,-9.24983315410908e-06,0,12.255,0,12,8.98695681464466e-22
76,speed,cruise,0,"[""ReferenceSpeed"",18]",1,1,240,,"",Inf,Inf,NaN,-7.35563290277241e-07,-1.52508750187317e-05,0,12.469,0,18,1.0648232421249e-21
77,friction,cruise,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",Inf,Inf,NaN,0.4,-4.6002509309098e-06,0,12.673,0,7.99999866259996,4.62242326681578e-21
78,friction,cruise,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",Inf,Inf,NaN,0.4,-1.02924171523445e-05,0,12.743,0,8,1.21555995889143e-20
79,friction,cruise,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",Inf,Inf,NaN,0.4,-8.42254880823345e-06,0,12.43,0,7.99999999414062,2.56029494363063e-22
80,samplePeriod,cruise,0,"[""SampleTime"",0.02]",1,1,240,,"",Inf,Inf,NaN,0.4,-1.68836486039787e-05,0,22.363,3,7.99999996088997,7.96766462818377e-23
81,samplePeriod,cruise,0,"[""SampleTime"",0.1]",1,1,240,,"",Inf,Inf,NaN,0.4,-7.08964080961043e-06,0,10.071,0,8,3.09221244185458e-21
82,samplePeriod,cruise,0,"[""SampleTime"",0.2]",1,1,240,,"",Inf,Inf,NaN,0.4,-4.04643682225511e-06,0,7.154,0,8,7.43962027227942e-21
83,slew,cruise,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.4,-5.97861892098265e-06,0,14.379,0,8,5.56082601318177e-20
84,slew,cruise,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.4,-8.32391212882882e-06,0,15.255,0,7.99999939893781,8.84889473703412e-20
85,speed,cruise,0.01,"[""ReferenceSpeed"",2]",1,1,240,,"",Inf,Inf,NaN,0.3838153732636,-2.50881346508133e-05,0,13.282,0,1.9999999874862,0.0161846267363997
86,speed,cruise,0.01,"[""ReferenceSpeed"",5]",1,1,240,,"",Inf,Inf,NaN,0.385491874723753,-9.45157731341989e-06,0,12.753,0,4.99999956085541,0.014508125276247
87,speed,cruise,0.01,"[""ReferenceSpeed"",12]",1,1,240,,"",Inf,Inf,NaN,0.395585775006602,-9.5043123605085e-06,0,13.611,0,12,0.00441422499322496
88,speed,cruise,0.01,"[""ReferenceSpeed"",18]",1,1,240,,"",Inf,Inf,NaN,-2.65287323486518e-06,-1.80043485764562e-05,0,21.112,0,18,0.0133523349049501
89,friction,cruise,0.01,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",Inf,Inf,NaN,0.389227645920435,-4.34334789468923e-06,0,14.531,0,7.99999904743268,0.0107723540794999
90,friction,cruise,0.01,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",Inf,Inf,NaN,0.388851573508721,-5.78190203033171e-06,0,14.888,0,8,0.0111484264912789
91,friction,cruise,0.01,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",Inf,Inf,NaN,0.38866291287779,-7.66116183804006e-06,0,18.516,0,7.99999939865106,0.0113370871220471
92,samplePeriod,cruise,0.01,"[""SampleTime"",0.02]",1,1,240,,"",Inf,Inf,NaN,0.388683945357817,-1.60883599565198e-05,0,22.863,59,7.99999867119142,0.0113160546421833
93,samplePeriod,cruise,0.01,"[""SampleTime"",0.1]",1,1,240,,"",Inf,Inf,NaN,0.388683946930981,-6.65647343441822e-06,0,9.283,0,8,0.0113160530684502
94,samplePeriod,cruise,0.01,"[""SampleTime"",0.2]",1,1,240,,"",Inf,Inf,NaN,0.388683848246466,-4.16039600671517e-06,0,7.449,0,8,0.0113161514282897
95,slew,cruise,0.01,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.386676159060482,-2.46726633752164e-06,0,14.87,0,7.99976696219375,0.013250582534926
96,slew,cruise,0.01,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.388682256552365,-5.20240219399538e-06,0,14.167,0,7.99999751230118,0.0113177431323784
97,noiseSeed,stationary,0.01,"[""Seed"",2.0260925E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.67649963882926,1.67260218546331,NaN,-0.395876267017477,-0.00225246273798334,0,55.206,1,5.91024723074539,0.795504397099598
98,noiseSeed,stationary,0.01,"[""Seed"",2.0260926E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.73171699824752,1.72402146687778,NaN,-0.390216485149185,-0.00532414318183852,0,49.856,0,5.99018478217893,0.78995511431626
99,noiseSeed,stationary,0.01,"[""Seed"",2.0260927E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.27385424564025,1.26791624814505,NaN,-0.322176264473766,-0.00429408210815425,0,48.411,0,5.77148398478428,0.722069874295202
100,noiseSeed,stationary,0.01,"[""Seed"",2.0260928E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.50959937202564,1.50897925041139,NaN,-0.372059412530299,-0.00413363256070783,0,53.58,1,5.88003811029207,0.771626187475789
101,noiseSeed,stationary,0.01,"[""Seed"",2.0260929E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.39528984556273,1.39528984556273,NaN,-0.347413767752165,-0.00802220929616638,0,49.698,0,5.68952698029813,0.747413767752165
102,noiseSeed,stationary,0.01,"[""Seed"",2.026093E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.24905471505366,1.24857455299467,NaN,-0.346216148413543,-0.00175758919543688,0,48.196,0,6.3104759706899,0.745674594677239
103,noiseSeed,stationary,0.01,"[""Seed"",2.0260931E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.71540240562428,1.71405390361405,NaN,-0.389804706023968,-0.00387234717200511,0,50.849,1,6.02122865519277,0.789573173437379
104,noiseSeed,stationary,0.01,"[""Seed"",2.0260932E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",2.04709733002158,2.03568654533538,NaN,-0.499507302413659,-0.0030898500550719,0,50.301,1,6.12040281231093,0.828420038394438
