case,seed,duration,positionRmse,velocityRmse,accelerationRmse,targetHeadingRmse,egoPositionRmse,egoVelocityRmse,egoYawRmse,positionStartupPeak,positionPostTransientPeak,bodyVelocityStartupPeak,accelerationStartupPeak,accelerationPostTransientPeak,positionSettleTo015MSeconds,domainValidFraction,speedViolationFraction,scalarAccelerationViolationFraction,curvatureViolationFraction,rangeViolationFraction,boundContainmentFraction,boundMeanM,boundMaximumM,boundMinimumSlackM,stepMedianMs,stepP95Ms,stepMaximumMs,deadlineMisses,curvatureLagS,bandwidthPerS,outagePositionPeakM,postReacquisitionAccelerationPeakMps2,positionRecoveryTo015MSeconds,passTimeS,positionErrorPeakAroundPassM,accelerationErrorPeakAroundPassMps2
retained-noise-25Hz,110,12,0.04263109346318981,0.17279226690115523,0.25801388999731417,0.007744572222579284,0.017003238603069317,0.022240299796031072,0.001681372918398882,1.118033988749895,0.09455330984893001,3.89498050935119,5.189968118347767,0.6322720660438945,0.56,1.0,0.0,0.0,0.0,0.0,1.0,3.2317651572657913,3.32013079234173,2.7292612823457456,2.8655,3.0112499999999995,6.165,0,,2.5910462926477833,,,,,,
aggressive-ego-noise,101,12,0.02800204961936713,0.11395376777205514,0.14957829513270893,0.005042671586202836,0.02287468339959506,0.01785870481132672,0.0012331632585899056,1.118033988749895,0.0681448585994692,3.29601186606636,3.989594680933783,0.3542249366813315,0.54,1.0,0.0,0.0,0.0,0.0,1.0,1.705299476520052,1.83197254392734,1.4312688192313026,2.099,2.18905,6.2090000000000005,0,,2.322983771480856,,,,,,
aggressive-ego-noise,102,12,0.028068154794057647,0.11958899796517668,0.15464602028130983,0.006335333246014983,0.021241392099237928,0.018494240726049577,0.0012652317639780582,1.118033988749895,0.06357939120323743,3.358153517880456,4.015329042742104,0.43071623201005216,0.58,1.0,0.0,0.0,0.0,0.0,1.0,1.7056356181306014,1.81712771750093,1.4335013260816654,2.1,2.182,5.105,0,,2.322983771480856,,,,,,
aggressive-ego-noise,103,12,0.025524273290413627,0.1060278548125184,0.1394597208886497,0.005228134215179992,0.019706141474478748,0.019246889461741207,0.0012887274549369724,1.118033988749895,0.05654095047420573,3.31455773537147,3.955945931343526,0.30963111262114823,0.54,1.0,0.0,0.0,0.0,0.0,1.0,1.7030284646166747,1.81427166143459,1.4138027383384104,2.1189999999999998,2.33405,5.124,0,,2.322983771480856,,,,,,
aggressive-ego-noise,104,12,0.02508907598367779,0.10767750106788669,0.1403866071518584,0.005050501099346528,0.016959296993614658,0.01803335820174232,0.0012341385278340376,1.118033988749895,0.05912824832948653,3.2639777030878205,3.9475144791796186,0.35034211071581595,0.56,1.0,0.0,0.0,0.0,0.0,1.0,1.705964652065431,1.82396080286661,1.3863836264794347,2.104,2.2582999999999998,5.032,0,,2.322983771480856,,,,,,
aggressive-ego-noise,105,12,0.028644510075781216,0.1164737608516807,0.15233929877062816,0.005493180381613368,0.019576025704317858,0.018230012459818194,0.0012529394545479015,1.118033988749895,0.07666510799687663,3.251022862061723,3.8960354100994863,0.337679124441177,0.54,1.0,0.0,0.0,0.0,0.0,1.0,1.7050618918465092,1.82370030950799,1.406971489480726,2.094,2.26,5.3740000000000006,0,,2.322983771480856,,,,,,
aggressive-ego-noise,106,12,0.029875206125250624,0.12161809114843637,0.1613406786710341,0.005825842907162651,0.0194422723754344,0.01873357383819237,0.0012543861779959835,1.118033988749895,0.06826506772614668,3.3658379012340487,4.064852765144801,0.3514344797093676,0.56,1.0,0.0,0.0,0.0,0.0,1.0,1.705819528195249,1.81583110999304,1.4516272591539876,2.093,2.186,5.123,0,,2.322983771480856,,,,,,
aggressive-ego-noise,107,12,0.029117485598694592,0.11966841552441383,0.15543242616672703,0.005480952924362326,0.019439008001550642,0.018624135432680256,0.0012570831231543754,1.118033988749895,0.0634670030898028,3.2530466927163695,3.878432813763132,0.3473570782962659,0.56,1.0,0.0,0.0,0.0,0.0,1.0,1.7062886723004527,1.83149983583744,1.4304269015555424,2.1159999999999997,2.4951499999999993,5.113,0,,2.322983771480856,,,,,,
aggressive-ego-noise,108,12,0.029513639529333162,0.11665611271618334,0.15189948799273348,0.005828795097270374,0.02213172909118749,0.018215437481964344,0.0012850154432427578,1.118033988749895,0.061987653108413164,3.4291346080256804,4.091979922289821,0.37421404325555,0.6,1.0,0.0,0.0,0.0,0.0,1.0,1.7060108363542,1.83267501307873,1.432509164142107,2.104,2.4671499999999997,5.478000000000001,0,,2.322983771480856,,,,,,
aggressive-ego-noise,109,12,0.02737349882507365,0.11363248236526967,0.14786038393106632,0.0052763551171072344,0.018683695118212506,0.01812402316986863,0.00131835360345179,1.118033988749895,0.06475249753042904,3.2350937684476233,3.868559494476727,0.33723282176201935,0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.7064208465532966,1.80775387277309,1.406696464972906,2.112,2.3141499999999997,5.223,0,,2.322983771480856,,,,,,
aggressive-ego-noise,110,12,0.030803367038601925,0.12121080138436878,0.16218304195996208,0.005515986903448509,0.02148392729382263,0.01788487417963219,0.0012279639925201907,1.118033988749895,0.06568986837763263,3.3854651179113064,4.096189949558974,0.35627035430658305,0.58,1.0,0.0,0.0,0.0,0.0,1.0,1.7041434749496842,1.83973632799064,1.4184405701239335,2.1020000000000003,2.4825999999999993,5.1370000000000005,0,,2.322983771480856,,,,,,
oncoming-noise,101,8,0.025181764163226813,0.08963528240083647,0.11926910249531145,0.004924135894509124,0.03388405143087725,0.011656756582824694,0.0007148297060684036,1.118033988749895,0.05662147399622287,3.107587960506657,3.6015433806591397,0.2662605414187721,0.62,1.0,0.0,0.0,0.0,0.0,1.0,1.6762202880964203,2.01849076528442,1.3894900669858452,2.143,2.2140999999999997,9.455,0,,2.232577086834523,,,,4.12,0.05662147399622287,0.2662605414187721
oncoming-noise,102,8,0.027154087379075487,0.09911669605945071,0.12839969208838503,0.004934198872441158,0.03149234132862913,0.01282589602069599,0.0007881936291113916,1.118033988749895,0.06779715295592635,3.107502508860398,3.6104730863170955,0.30552646564379127,0.62,1.0,0.0,0.0,0.0,0.0,1.0,1.6765112837636473,2.01959792368774,1.3792544283058155,2.133,2.21805,5.159000000000001,0,,2.232577086834523,,,,4.12,0.06779715295592635,0.24599575048311798
oncoming-noise,103,8,0.02983981112445323,0.1064206169667623,0.1420168987773063,0.005565927732733801,0.03249202992896828,0.012402826531518576,0.0007956927761808957,1.118033988749895,0.07950527817758046,3.0735353899974998,3.6054818987953006,0.33223242162501904,0.56,1.0,0.0,0.0,0.0,0.0,1.0,1.6751840725000244,2.03153473484968,1.3562546742662205,2.137,2.2541499999999997,5.065,0,,2.232577086834523,,,,4.12,0.07950527817758046,0.33223242162501904
oncoming-noise,104,8,0.02653725056528368,0.09953007540685357,0.12583326667812683,0.006014611718080163,0.029405202230867414,0.012273997549110682,0.0006854787725408345,1.118033988749895,0.06366516427986607,3.1627236052875154,3.6519516872176374,0.3251032121208959,0.6,1.0,0.0,0.0,0.0,0.0,1.0,1.6738839499996312,2.0374564881307,1.405039024880883,2.157,2.6611499999999992,5.58,0,,2.232577086834523,,,,4.12,0.04306990861280925,0.24372342822030515
oncoming-noise,105,8,0.028194403217538775,0.10149991793580208,0.13619325777953145,0.006105231500698602,0.031526092664643346,0.01170486000347382,0.0007302674187219143,1.118033988749895,0.06740899160554842,3.1864777496982657,3.66890410192733,0.32897305276332306,0.6,1.0,0.0,0.0,0.0,0.0,1.0,1.676272557786108,2.01131146963104,1.3594082058872698,2.143,2.37805,5.0489999999999995,0,,2.232577086834523,,,,4.12,0.06740899160554842,0.32897305276332306
