Case,Estimator,Seed,PositionRmse,PositionMaximum,PositionStartupMaximum,VelocityRmse,VelocityMaximum,VelocityStartupMaximum,AccelerationRmse,AccelerationMaximum,AccelerationStartupMaximum,DomainValidFraction,CurvatureLagS,PositionBoundMeanM,PositionBoundContainmentFraction,MinimumPositionBoundSlackM,MedianStepMs,P95StepMs,MaximumStepMs
retained-noise,baseline-high-gain,79,0.046480162967420614,0.10188320965132654,1.118033988749895,0.469853327811286,1.181174077862653,10.233564648124275,1.7803917675772543,4.385000156000987,34.07313110369712,0.6387225548902196,,1.6937547296379274,1.0,1.198422990014453,2.153,2.25205,5.792000000000001
retained-noise,baseline-high-gain,80,0.04858625985495486,0.11065429676253785,1.118033988749895,0.49503247451365634,1.1374429525876508,10.957339338658977,1.8772260723573666,4.723452554362813,34.868830313583956,0.592814371257485,,1.6927282622364863,1.0,1.1756318294508157,2.143,2.2101499999999996,5.9030000000000005
retained-noise,structured-high-gain,71,0.02883764565867313,0.06634510059510021,1.118033988749895,0.11928791190027764,0.30078781048379505,4.05879485461625,0.18314814704717566,0.46106477057443707,5.150639849830555,1,,1.7052497572312193,1.0,1.3377690486296703,2.1350000000000002,2.2260999999999997,5.797
retained-noise,structured-high-gain,72,0.03029964364368148,0.07516402556646215,1.118033988749895,0.12465905632014314,0.28648901413172967,3.9639933270260417,0.18963570450908324,0.43466258206610925,5.019394489692369,1,,1.7037996111274876,1.0,1.3845831292699957,2.132,2.3192999999999997,5.927
retained-noise,structured-high-gain,73,0.026689322857520906,0.06431417777450024,1.118033988749895,0.11112583215449905,0.2701217282560233,3.7089784824074505,0.1705496419446919,0.40241563587058204,4.821392976353433,1,,1.7059202848870323,1.0,1.4182634012243593,2.133,2.30105,5.8549999999999995
retained-noise,structured-high-gain,74,0.028662524550787077,0.07139894705562443,1.118033988749895,0.11870604129043341,0.330478997176046,3.9661630525100375,0.1793052888584526,0.4470349555638161,5.082719009056265,1,,1.7027265527024837,1.0,1.3629734021452107,2.132,2.2291499999999997,6.313
retained-noise,structured-high-gain,75,0.027000908273599567,0.07182562176440438,1.118033988749895,0.1133981833851907,0.3057361263686288,4.045937312277507,0.17281128823728067,0.46612808085728114,5.193843133507066,1,,1.704892141696424,1.0,1.3747019375725344,2.126,2.2080499999999996,5.814
retained-noise,structured-high-gain,76,0.030802489177650487,0.06661470844239845,1.118033988749895,0.12427823283846356,0.29810312318778037,4.003187767326894,0.1888733794826138,0.40897554231301053,5.093925407569306,1,,1.7058645090680253,1.0,1.3796057744257342,2.134,2.2241999999999997,6.086
retained-noise,structured-high-gain,77,0.03155398691465405,0.07623200225848743,1.118033988749895,0.12895456123053367,0.31019750681841907,3.8864345384662866,0.19610604623710948,0.4790261035768109,4.957626766142829,1,,1.7036793296176376,1.0,1.3876176504549358,2.121,2.1871,5.752
retained-noise,structured-high-gain,78,0.0313987737078077,0.06949434917272729,1.118033988749895,0.12787231453887601,0.298889190322215,3.9615746423598637,0.19419887441702188,0.4380823165115828,5.242017533487176,1,,1.7037492305316977,1.0,1.389120769853077,2.1220000000000003,2.189,5.685
retained-noise,structured-high-gain,79,0.03002424315354727,0.07057376507404495,1.118033988749895,0.12488849982862035,0.31398538694737405,3.857527684516581,0.18832333348592573,0.5025305179178815,4.93916501522055,1,,1.7041670612217439,1.0,1.393196979404349,2.127,2.186,6.3629999999999995
retained-noise,structured-high-gain,80,0.029283208667554364,0.07198699467755687,1.118033988749895,0.12059643277471087,0.27764752274567184,3.95178928767002,0.18307542906981286,0.42855097424014443,5.1040335383590865,1,,1.7033455562398125,1.0,1.4019060750007324,2.1225,2.2110499999999997,5.746
varying-noise,baseline-high-gain,71,0.04675424460925612,0.11007631269226165,1.118033988749895,0.45352029742244276,1.0784106104321076,10.149680385818833,1.6427648762516218,3.785828692253233,31.129771013561264,0.7325349301397206,0.43999999999999995,1.746503626190117,1.0,1.2344830376209843,2.1380000000000003,2.3141499999999997,6.031
varying-noise,baseline-high-gain,72,0.04679643867276318,0.1092391976630141,1.118033988749895,0.44396901726087845,1.0122257874245462,9.748924238509757,1.5921714799186033,3.780125780876409,30.776283127502627,0.7345309381237525,0.14000000000000012,1.7451045938692809,1.0,1.2231922427774484,2.129,2.3444,6.203
varying-noise,baseline-high-gain,73,0.04575510169934138,0.10724306565637912,1.118033988749895,0.449460325976213,1.1783588205807034,9.824690345627861,1.6301451774332474,4.40233975296712,31.499597467664852,0.6986027944111777,0.32000000000000006,1.7468600652072597,1.0,1.2382248412350751,2.134,2.2460999999999998,6.036
varying-noise,baseline-high-gain,74,0.04386378054837933,0.1061035645834553,1.118033988749895,0.4210909157035101,0.9687346823161338,10.183194744041845,1.517579165903743,3.456070386741523,31.874242402798618,0.7524950099800399,0.3400000000000001,1.7443284299570372,1.0,1.2415753270940701,2.134,2.2391,5.808
varying-noise,baseline-high-gain,75,0.04406162282377185,0.10698305552556256,1.118033988749895,0.4277354754354011,1.047191089594273,9.750730965011574,1.542824313362303,3.5335353088503973,31.295707929775116,0.7584830339321357,0.14000000000000012,1.7462003405999402,1.0,1.1914047372903116,2.1414999999999997,2.25205,5.878
varying-noise,baseline-high-gain,76,0.04754737745731688,0.10117070929989437,1.118033988749895,0.4517247025182635,0.9990049586748725,9.547836371682967,1.6302710711298347,3.5329268414520154,30.366248829037843,0.7365269461077845,0.14000000000000012,1.7465685035869798,1.0,1.2631634585422968,2.127,2.2783499999999997,5.889
varying-noise,baseline-high-gain,77,0.04824195320680642,0.10644807886389761,1.118033988749895,0.4601849008990379,1.1463011718706972,9.521679719188693,1.6554124190817774,4.2547277751328325,30.217247943597425,0.7504990019960079,0.43999999999999995,1.7447103492745364,1.0,1.2429686110082916,2.142,2.59325,5.824
varying-noise,baseline-high-gain,78,0.047140893758157734,0.0955499855560347,1.118033988749895,0.44612887323810524,1.0471422358243978,10.373500694742107,1.605034555079779,3.7008636540259547,31.338427168191625,0.7664670658682635,0.1200000000000001,1.7447432953999258,1.0,1.2211381295806765,2.139,2.212,6.01
varying-noise,baseline-high-gain,79,0.04507885803429773,0.09945988683808968,1.118033988749895,0.4326087941973945,1.061293172898215,9.597743443336949,1.5584208179959598,3.7233969908053446,30.492812950809483,0.7445109780439122,0.48,1.7456838313752494,1.0,1.2079440114684932,2.139,2.2992,5.868
varying-noise,baseline-high-gain,80,0.0472100045171573,0.10890786681265305,1.118033988749895,0.45684453804225206,1.014415812431699,10.39308546891524,1.649910381827464,4.053631754799249,31.20471254720403,0.6986027944111777,0.3600000000000001,1.744628173270164,1.0,1.2032545747735472,2.142,2.2710999999999997,6.019
varying-noise,structured-high-gain,71,0.03005327266884283,0.08392125478814384,1.118033988749895,0.13659966276612717,0.4406054588506959,4.063442669732942,0.3211874037995817,1.1576543425930141,5.151131940346872,1,0.6599999999999999,1.7564436776429526,1.0,1.33776290791231,2.1315,2.235,5.915
varying-noise,structured-high-gain,72,0.031150454525418512,0.07517493154714604,1.118033988749895,0.13484351823078417,0.31646159787302136,3.969383640591065,0.3105752711388751,1.1731959828400382,5.01973083699345,1,0.52,1.7549716224114817,1.0,1.3844836408811088,2.134,2.2530499999999996,5.804
varying-noise,structured-high-gain,73,0.026541751156631106,0.06434238242684372,1.118033988749895,0.12239818582939875,0.3090488190701572,3.7146229977367256,0.302366166448226,1.2026346442251703,4.823911933322676,1,0.5800000000000001,1.757092093982013,1.0,1.4183759213302152,2.1229999999999998,2.17105,5.844
varying-noise,structured-high-gain,74,0.028691639956376143,0.07096536305749719,1.118033988749895,0.1294128454451811,0.34486130398334286,3.971280813020113,0.30531924900839796,1.1305540148598598,5.083179116475912,1,0.6399999999999999,1.7538885489519993,1.0,1.3632121956288514,2.129,2.214,5.890000000000001
varying-noise,structured-high-gain,75,0.027533483208618217,0.07172637218196692,1.118033988749895,0.12398930332279003,0.31095992128066663,4.05063761482339,0.3007414031681335,1.1330095747993516,5.19440914443744,1,0.54,1.7560933179985614,1.0,1.3746539875592263,2.12,2.22605,5.944
varying-noise,structured-high-gain,76,0.031184882875603146,0.06664929558349643,1.118033988749895,0.13402318954408307,0.3063725431780293,4.007858813618176,0.3086582683170629,1.0307389274538854,5.094386578185682,1,0.56,1.7570159430522154,1.0,1.3794050879277555,2.1254999999999997,2.2350499999999998,6.322
varying-noise,structured-high-gain,77,0.03186979934161378,0.0745347348349052,1.118033988749895,0.13894371943413483,0.4117170282274992,3.8909675551292064,0.3143110622485691,1.1197266318988501,4.959202200765162,1,0.6599999999999999,1.7548469644724332,1.0,1.3868309561142576,2.1380000000000003,2.2391,6.165
varying-noise,structured-high-gain,78,0.03192923402053441,0.06948558361226569,1.118033988749895,0.13797229856252088,0.3963524154457589,3.967031545504936,0.3142864859808599,1.0797507059347011,5.243862614723241,1,0.5999999999999999,1.7548721874858073,1.0,1.3892486582597903,2.1359999999999997,2.2312499999999997,5.947
varying-noise,structured-high-gain,79,0.029980637052443943,0.07137007816949605,1.118033988749895,0.13255329989606224,0.3311935118125052,3.862795445052014,0.29926958945914667,1.0810827702523642,4.940704552479271,1,0.6599999999999999,1.7552465974302307,1.0,1.3933028365917224,2.12,2.2183499999999996,5.725
varying-noise,structured-high-gain,80,0.030460020809294587,0.07746481077394668,1.118033988749895,0.1345169295382767,0.3828833824203412,3.956960702313717,0.31840888645460436,1.3067995339367682,5.1067726112973455,1,0.6199999999999999,1.7545153180828406,1.0,1.4020269063721094,2.1155,2.2010999999999994,5.852
retained-noise-25Hz,baseline-high-gain,71,0.07033554741356253,0.13826882094095633,1.118033988749895,0.7042805613125728,1.4916188441793816,12.088184907432932,2.6326281263058493,5.27747533589118,38.45910315901666,0.3705179282868526,,3.215202246261042,1.0,2.4080211047508895,2.9520000000000004,3.1302499999999998,6.949999999999999
retained-noise-25Hz,baseline-high-gain,72,0.06769591609848918,0.14636474762660984,1.118033988749895,0.6756600327275913,1.4471188073192036,12.130035378213508,2.5264584886160826,5.709123947460444,38.57455726832244,0.3745019920318725,,3.213836493636305,1.0,2.419081276859256,2.9245,3.07735,6.825
retained-noise-25Hz,baseline-high-gain,73,0.07116507125585611,0.14415973474782032,1.118033988749895,0.7124158098382761,1.6257279019128845,12.184801689527355,2.6630237387031364,5.7959755101782005,38.07151905189837,0.41434262948207173,,3.215496742893934,1.0,2.314561550499978,2.918,3.0868000000000007,6.7780000000000005
retained-noise-25Hz,baseline-high-gain,74,0.07263686437094806,0.126092301717211,1.118033988749895,0.7140761223736131,1.6195934550273268,11.57700891516702,2.660840450593437,6.096017138228541,36.279251889796754,0.3944223107569721,,3.215114121053695,1.0,2.347916133496806,2.945,3.1940000000000004,6.917000000000001
retained-noise-25Hz,baseline-high-gain,75,0.07793081471610595,0.15678046982205804,1.118033988749895,0.7742560671940968,1.6431387104168242,11.361232136066663,2.8893737551636423,5.7222053611408,35.892734230105745,0.3705179282868526,,3.2159372617306246,1.0,2.3589129023481554,2.951,3.4731,6.819000000000001
