scenario,planTime,stage,time,axle,anchorBeta,candidateBeta,betaSlope,anchorSteering,candidateSteering,anchorForce,betaForceChange,affineForce,nonlinearForce,capacity,slip
straight,2,54,4.65,2,0.0149083615980797,0.0138044253270961,-0.000483989112999862,0.000886004474278991,-0.000140126438381627,25.0477871299049,5.34293136601742e-07,-7.0448953851893,-8.62149298835358,6454.54041273999,5.4465434827851e-05
straight,2,55,4.7,1,0.0148493522739324,0.013803615304136,0.00159457254787984,0.00046423934779558,-9.13594539617244e-05,-45.6993660352521,-1.66750346434036e-06,4.20018518494729,10.2757932541391,6504.65349822569,-7.61804102831083e-05
straight,2,55,4.7,2,0.0148493522739324,0.013803615304136,-0.000323292589785904,0.00046423934779558,-9.13594539617244e-05,20.5153609802821,3.38079013200336e-07,-5.92048989416797,-7.21273006702142,6454.54048492566,4.55623954163981e-05
straight,2,56,4.75,1,0.0148493522739324,0.0139262217872769,5.43774705894228e-06,0.00046423934779558,-3.58077772694733e-05,-2.67262271679185,-5.01975008883077e-09,7.56995325135047,11.2675556845317,6504.64243866052,-8.35371709584122e-05
straight,2,56,4.75,2,0.0148493522739324,0.0139262217872769,-0.000127289588618356,0.00046423934779558,-3.58077772694733e-05,12.8763319911269,1.17504899887438e-07,-4.71767196152986,-5.56990210576209,6454.52951056536,3.51817596882741e-05
sCurve,1.35,1,1.35,1,-0.99998796493815,-0.999987999991358,1325935.70238423,0.698031957365297,0.698122114257012,31.9156284296633,-0.0464783004157708,31.8691501291469,31.8691162361492,31.8691162361492,-0.620327111937432
sCurve,1.35,1,1.35,2,-0.99998796493815,-0.999987999991358,1315720.45671331,0.698031957365297,0.698122114257012,31.6697447231122,-0.0461202232810651,31.6236244996544,31.6235908678513,31.6235908678513,-0.0174659052179271
sCurve,1.35,2,1.4,1,0.297005433675878,-0.530540872605598,553.56918332971,-0.0226624496938673,-0.37836644264485,-4458.09536530502,-458.104132935755,-25629.8520585333,-5514.25575785582,5514.25575785582,0.40330704386836
sCurve,1.35,2,1.4,2,0.297005433675878,-0.530540872605598,-206.340640119027,-0.0226624496938673,-0.37836644264485,2992.72812423896,170.756434566256,3149.06499445262,2899.82539496749,5471.77294578773,-0.0230573362492661
sCurve,1.35,3,1.45,1,0.10136390559397,-0.122316503741442,144.122255119484,-0.054210003371764,-0.0723467190914246,-4262.79449991037,-32.2373250194689,5423.48433914099,6393.55831473636,6456.42613067234,-0.112397097111146
sCurve,1.35,3,1.45,2,0.10136390559397,-0.122316503741442,-1.6544416881254,-0.054210003371764,-0.0723467190914246,547.075460748466,0.370066194021459,-3579.53600801904,-3286.20320937546,6406.6846696329,0.0258699645679361
sCurve,1.35,4,1.5,1,0.0241603676861647,-0.0279468467463515,-5.96050833218769,-0.0217407579325176,-0.0709247808041533,2027.23222638828,0.310585485792104,5022.78392468271,4741.92852144752,6502.73239367187,-0.0509887154075316
sCurve,1.35,4,1.5,2,0.0241603676861647,-0.0279468467463515,0.381726458641053,-0.0217407579325176,-0.0709247808041533,-542.349470232688,-0.0198907024349744,-2159.77481669367,-2120.23464432328,6452.63418090473,0.0151990394787561
